Date,Close/Last,Volume,Open,High,Low
12/22/2024,95836.20,N/A,96985.30,96487.50,93751.20
12/21/2024,96219.20,N/A,97585.20,97422.20,96194.90
12/20/2024,97570.70,N/A,97300.60,97809.80,97190.00
12/19/2024,97414.30,N/A,100651.00,97803.20,95995.20
12/18/2024,100811.00,N/A,103889.00,101269.00,98909.90
12/17/2024,103696.00,N/A,106504.00,106478.00,103605.00
12/16/2024,106484.00,N/A,104675.00,106961.00,105686.00
12/15/2024,104508.00,N/A,102358.00,106569.00,104296.00
12/14/2024,102202.00,N/A,101686.00,102834.00,101235.00
12/13/2024,101700.00,N/A,100003.00,102633.00,101150.00
12/12/2024,100051.00,N/A,100677.00,100351.00,99214.20
12/11/2024,100656.00,N/A,97543.20,101828.00,100345.00
12/10/2024,97560.20,N/A,97024.70,97622.70,95689.50
12/09/2024,96719.30,N/A,99417.20,98131.60,95587.80
12/08/2024,99736.00,N/A,99165.80,100317.00,99354.50
12/07/2024,99939.70,N/A,100412.00,100442.00,98969.00
12/06/2024,99566.70,N/A,97881.00,100442.00,99099.30
12/05/2024,97954.10,N/A,103316.00,98795.80,96452.00
12/04/2024,103127.00,N/A,95998.30,103719.00,97949.10
12/03/2024,95833.30,N/A,95918.80,96606.50,95344.20
12/02/2024,95942.40,N/A,96728.00,96228.70,95407.80
12/01/2024,96642.00,N/A,96486.50,98082.00,96137.30
11/30/2024,96403.90,N/A,96688.10,96667.50,95721.80
11/29/2024,96672.10,N/A,96258.80,97461.90,96371.50
11/28/2024,96407.60,N/A,95760.20,96825.40,95405.70
11/27/2024,95649.20,N/A,92538.40,96549.00,94867.10
11/26/2024,92549.20,N/A,94300.60,93179.10,91795.50
11/25/2024,94440.20,N/A,97814.60,94909.30,92827.30
11/24/2024,97706.50,N/A,98188.20,98051.90,96953.40
11/23/2024,98096.20,N/A,98622.30,98552.60,97644.00
11/22/2024,98429.40,N/A,98804.50,98927.20,98341.80
11/21/2024,98817.00,N/A,97487.40,99289.30,97868.90
11/20/2024,96865.20,N/A,92147.20,96904.80,94063.80
11/19/2024,92191.10,N/A,91506.80,92419.70,91517.40
11/18/2024,91376.00,N/A,90445.60,91805.70,90378.70
11/17/2024,90532.00,N/A,90384.40,90916.60,89674.20
11/16/2024,90469.50,N/A,91274.60,90883.90,89387.70
11/15/2024,91239.90,N/A,87443.80,91673.90,90863.50
11/14/2024,87221.60,N/A,90100.60,88463.70,87118.80
11/13/2024,90015.60,N/A,87216.00,90523.20,89375.10
11/12/2024,86313.80,N/A,88474.40,88533.40,86313.80
11/11/2024,88728.20,N/A,81468.00,89436.10,86742.60
11/10/2024,81361.70,N/A,79079.20,81792.40,80231.80
11/09/2024,76383.30,N/A,76371.80,76793.80,75732.50
11/08/2024,76369.60,N/A,75849.10,76629.30,76147.00
11/07/2024,75901.80,N/A,74730.50,76359.50,75599.00
11/06/2024,74675.10,N/A,74457.10,75995.30,74627.80
11/05/2024,74552.90,N/A,68335.70,74954.60,69323.00
11/04/2024,68346.00,N/A,69038.40,68489.70,67473.60
11/03/2024,69121.00,N/A,68378.60,69483.40,68257.50
11/02/2024,68423.00,N/A,69660.60,69383.60,67882.50
11/01/2024,69671.20,N/A,69557.60,69896.90,69478.70
10/31/2024,69369.80,N/A,72551.60,70445.20,68860.50
10/30/2024,72354.70,N/A,72339.20,72589.80,72043.80
10/29/2024,72233.80,N/A,71181.80,72772.60,72016.40
10/28/2024,70943.70,N/A,67724.50,71521.00,69753.20
10/27/2024,67706.10,N/A,67279.10,68102.90,67673.60
10/26/2024,67032.20,N/A,66690.80,67119.50,66924.60
10/25/2024,66884.20,N/A,67995.50,67007.00,66443.80
